index,timestamp_us,duration_us,level
0,1353329,0,1
1,1353767,438,0
2,1354317,550,1
3,1355206,889,0
4,1355756,550,1
5,1356645,889,0
6,1357195,550,1
7,1358084,889,0
8,1359111,1027,1
9,1359523,412,0
10,1360550,1027,1
11,1360962,412,0
12,1361989,1027,1
13,1362401,412,0
14,1363428,1027,1
15,1363840,412,0
16,1364390,550,1
17,1365279,889,0
18,1366306,1027,1
19,1366718,412,0
20,1367745,1027,1
21,1368157,412,0
22,1368707,550,1
23,1369596,889,0
24,1370623,1027,1
25,1371035,412,0
26,1372062,1027,1
27,1372474,412,0
28,1373502,1028,1
29,1373914,412,0
30,1374464,550,1
31,1375353,889,0
32,1376380,1027,1
33,1376792,412,0
34,1377819,1027,1
35,1378231,412,0
36,1378781,550,1
37,1379670,889,0
38,1380220,550,1
39,1381109,889,0
40,1381659,550,1
41,1382548,889,0
42,1383098,550,1
43,1383987,889,0
44,1385014,1027,1
45,1385426,412,0
46,1385976,550,1
47,1386865,889,0
48,1387892,1027,1
49,1388304,412,0
50,1388854,550,1
51,1389743,889,0
52,1390770,1027,1
53,1391182,412,0
54,1391732,550,1
55,1392621,889,0
56,1393648,1027,1
57,1394060,412,0
58,1405201,11141,1
59,1405619,418,0
60,1406171,552,1
61,1407060,889,0
62,1407610,550,1
63,1408500,890,0
64,1409050,550,1
65,1409939,889,0
66,1410966,1027,1
67,1411378,412,0
68,1412405,1027,1
69,1412817,412,0
70,1413844,1027,1
71,1414256,412,0
72,1415283,1027,1
73,1415695,412,0
74,1416245,550,1
75,1417134,889,0
76,1418162,1028,1
77,1418579,417,0
78,1419606,1027,1
79,1420018,412,0
80,1420568,550,1
81,1421457,889,0
82,1422484,1027,1
83,1422896,412,0
84,1423923,1027,1
85,1424335,412,0
86,1425362,1027,1
87,1425774,412,0
88,1426324,550,1
89,1427213,889,0
90,1428240,1027,1
91,1428652,412,0
92,1429679,1027,1
93,1430091,412,0
94,1430641,550,1
95,1431530,889,0
96,1432080,550,1
97,1432969,889,0
98,1433519,550,1
99,1434408,889,0
100,1434958,550,1
101,1435847,889,0
102,1436874,1027,1
103,1437286,412,0
104,1437836,550,1
105,1438725,889,0
106,1439752,1027,1
107,1440170,418,0
108,1440719,549,1
109,1441609,890,0
110,1442636,1027,1
111,1443048,412,0
112,1443598,550,1
113,1444487,889,0
114,1445514,1027,1
115,1445926,412,0
116,1457067,11141,1
117,1457485,418,0
118,1458035,550,1
119,1458924,889,0
120,1459474,550,1
121,1460363,889,0
122,1460913,550,1
123,1461802,889,0
124,1462829,1027,1
125,1463241,412,0
126,1464268,1027,1
127,1464680,412,0
128,1465707,1027,1
129,1466119,412,0
130,1467146,1027,1
131,1467558,412,0
132,1468107,549,1
133,1468997,890,0
134,1470024,1027,1
135,1470436,412,0
136,1471463,1027,1
137,1471875,412,0
138,1472425,550,1
139,1473314,889,0
140,1474341,1027,1
141,1474753,412,0
142,1475780,1027,1
143,1476192,412,0
144,1477219,1027,1
145,1477631,412,0
146,1478181,550,1
147,1479070,889,0
148,1480097,1027,1
149,1480509,412,0
150,1481536,1027,1
151,1481948,412,0
152,1482498,550,1
153,1483388,890,0
154,1483937,549,1
155,1484827,890,0
156,1485377,550,1
157,1486266,889,0
158,1486816,550,1
159,1487705,889,0
160,1488732,1027,1
161,1489144,412,0
162,1489694,550,1
163,1490583,889,0
164,1491610,1027,1
165,1492022,412,0
166,1492572,550,1
167,1493461,889,0
168,1494488,1027,1
