index,timestamp_us,duration_us,level
0,1005655,0,1
1,1006122,467,0
2,1006602,480,1
3,1007543,941,0
4,1008027,484,1
5,1008977,950,0
6,1009456,479,1
7,1010404,948,0
8,1011364,960,1
9,1011836,472,0
10,1012793,957,1
11,1013260,467,0
12,1014224,964,1
13,1014690,466,0
14,1015653,963,1
15,1016118,465,0
16,1016609,491,1
17,1017542,933,0
18,1018511,969,1
19,1018979,468,0
20,1019940,961,1
21,1020407,467,0
22,1020893,486,1
23,1021837,944,0
24,1022799,962,1
25,1023262,463,0
26,1024231,969,1
27,1024691,460,0
28,1025660,969,1
29,1026121,461,0
30,1026615,494,1
31,1027545,930,0
32,1028518,973,1
33,1028983,465,0
34,1029945,962,1
35,1030407,462,0
36,1030899,492,1
37,1031838,939,0
38,1032330,492,1
39,1033266,936,0
40,1033757,491,1
41,1034694,937,0
42,1035187,493,1
43,1036122,935,0
44,1037094,972,1
45,1037545,451,0
46,1038047,502,1
47,1038978,931,0
48,1039956,978,1
49,1040408,452,0
50,1040909,501,1
51,1041839,930,0
52,1042814,975,1
53,1043265,451,0
54,1043766,501,1
55,1044694,928,0
56,1045675,981,1
57,1046124,449,0
58,1057103,10979,1
59,1057553,450,0
60,1058057,504,1
61,1058988,931,0
62,1059489,501,1
63,1060416,927,0
64,1060918,502,1
65,1061844,926,0
66,1062827,983,1
67,1063272,445,0
68,1064257,985,1
69,1064702,445,0
70,1065685,983,1
71,1066130,445,0
72,1067111,981,1
73,1067556,445,0
74,1068064,508,1
75,1068990,926,0
76,1069969,979,1
77,1070419,450,0
78,1071399,980,1
79,1071848,449,0
80,1072355,507,1
81,1073276,921,0
82,1074261,985,1
83,1074704,443,0
84,1075690,986,1
85,1076133,443,0
86,1077118,985,1
87,1077558,440,0
88,1078071,513,1
89,1078992,921,0
90,1079977,985,1
91,1080421,444,0
92,1081409,988,1
93,1081850,441,0
94,1082364,514,1
95,1083277,913,0
96,1083789,512,1
97,1084708,919,0
98,1085218,510,1
99,1086137,919,0
100,1086654,517,1
101,1087561,907,0
102,1088555,994,1
103,1088994,439,0
104,1089506,512,1
105,1090423,917,0
106,1091416,993,1
107,1091853,437,0
108,1092371,518,1
109,1093281,910,0
110,1094277,996,1
111,1094711,434,0
112,1095227,516,1
113,1096139,912,0
114,1097133,994,1
115,1097564,431,0
116,1108568,11004,1
117,1109004,436,0
118,1109514,510,1
119,1110432,918,0
120,1110944,512,1
121,1111862,918,0
122,1112378,516,1
123,1113288,910,0
124,1114289,1001,1
125,1114718,429,0
126,1115719,1001,1
127,1116148,429,0
128,1117144,996,1
129,1117573,429,0
130,1118586,1013,1
131,1119005,419,0
132,1119526,521,1
133,1120433,907,0
134,1121443,1010,1
135,1121863,420,0
136,1122877,1014,1
137,1123292,415,0
138,1123821,529,1
139,1124721,900,0
140,1125737,1016,1
141,1126150,413,0
142,1127153,1003,1
143,1127577,424,0
144,1128588,1011,1
145,1129010,422,0
146,1129532,522,1
147,1130437,905,0
148,1131446,1009,1
149,1131867,421,0
150,1132879,1012,1
151,1133296,417,0
152,1133818,522,1
153,1134726,908,0
154,1135250,524,1
155,1136153,903,0
156,1136691,538,1
157,1137579,888,0
158,1138113,534,1
159,1139011,898,0
160,1140032,1021,1
161,1140439,407,0
162,1140980,541,1
163,1141869,889,0
164,1142891,1022,1
165,1143297,406,0
166,1143841,544,1
167,1144727,886,0
168,1145749,1022,1
169,1146156,407,0
170,1146702,546,1
171,1147583,881,0
172,1148615,1032,1
173,1149014,399,0
174,1160038,11024,1
175,1160448,410,0
176,1160988,540,1
177,1161877,889,0
178,1162422,545,1
179,1163306,884,0
180,1163844,538,1
181,1164736,892,0
182,1165752,1016,1
183,1166164,412,0
184,1167185,1021,1
185,1167593,408,0
186,1168621,1028,1
187,1169022,401,0
188,1170042,1020,1
189,1170452,410,0
190,1170992,540,1
191,1171882,890,0
192,1172900,1018,1
193,1173309,409,0
194,1174332,1023,1
195,1174741,409,0
196,1175285,544,1
197,1176169,884,0
198,1177191,1022,1
199,1177596,405,0
200,1178626,1030,1
201,1179026,400,0
202,1180050,1024,1
203,1180455,405,0
204,1181000,545,1
205,1181884,884,0
206,1182907,1023,1
207,1183312,405,0
208,1184339,1027,1
209,1184743,404,0
210,1185293,550,1
211,1186175,882,0
212,1186720,545,1
213,1187598,878,0
214,1188147,549,1
215,1189029,882,0
216,1189587,558,1
217,1190459,872,0
218,1191483,1024,1
219,1191887,404,0
220,1192434,547,1
221,1193317,883,0
222,1194342,1025,1
223,1194746,404,0
224,1195300,554,1
225,1196175,875,0
226,1197203,1028,1
227,1197602,399,0
228,1198152,550,1
229,1199033,881,0
230,1200062,1029,1
231,1200461,399,0
232,1211488,11027,1
233,1211896,408,0
234,1212439,543,1
235,1213325,886,0
236,1213870,545,1
237,1214757,887,0
238,1215305,548,1
239,1216183,878,0
240,1217207,1024,1
241,1217611,404,0
242,1218641,1030,1
243,1219042,401,0
244,1220065,1023,1
245,1220471,406,0
246,1221497,1026,1
247,1221899,402,0
248,1222448,549,1
249,1223327,879,0
250,1224356,1029,1
251,1224758,402,0
252,1225776,1018,1
253,1226186,410,0
254,1226734,548,1
255,1227615,881,0
256,1228643,1028,1
257,1229046,403,0
258,1230071,1025,1
259,1230475,404,0
260,1231500,1025,1
261,1231902,402,0
262,1232453,551,1
263,1233332,879,0
264,1234358,1026,1
265,1234764,406,0
266,1235781,1017,1
267,1236190,409,0
268,1236739,549,1
269,1237618,879,0
270,1238175,557,1
271,1239048,873,0
272,1239611,563,1
273,1240477,866,0
274,1241031,554,1
275,1241907,876,0
276,1242938,1031,1
277,1243334,396,0
278,1243887,553,1
279,1244766,879,0
280,1245789,1023,1
281,1246192,403,0
282,1246746,554,1
283,1247621,875,0
284,1248655,1034,1
285,1249052,397,0
286,1249616,564,1
287,1250482,866,0
288,1251509,1027,1
289,1251911,402,0
290,1262943,11032,1
291,1263344,401,0
292,1263892,548,1
293,1264774,882,0
294,1265326,552,1
295,1266200,874,0
296,1266748,548,1
297,1267630,882,0
298,1268660,1030,1
299,1269061,401,0
300,1270084,1023,1
301,1270490,406,0
302,1271514,1024,1
303,1271920,406,0
304,1272943,1023,1
305,1273349,406,0
306,1273896,547,1
307,1274779,883,0
308,1275799,1020,1
309,1276203,404,0
310,1277241,1038,1
311,1277633,392,0
312,1278188,555,1
313,1279062,874,0
314,1280094,1032,1
315,1280492,398,0
316,1281519,1027,1
317,1281922,403,0
318,1282951,1029,1
319,1283350,399,0
320,1283903,553,1
321,1284782,879,0
322,1285808,1026,1
323,1286207,399,0
324,1287246,1039,1
325,1287637,391,0
326,1288189,552,1
327,1289069,880,0
328,1289626,557,1
329,1290497,871,0
330,1291049,552,1
331,1291926,877,0
332,1292481,555,1
333,1293354,873,0
334,1294390,1036,1
335,1294785,395,0
336,1295343,558,1
337,1296210,867,0
338,1297258,1048,1
339,1297641,383,0
340,1298197,556,1
341,1299070,873,0
342,1300104,1034,1
343,1300501,397,0
344,1301060,559,1
345,1301929,869,0
346,1302962,1033,1
347,1303358,396,0
348,1314389,11031,1
349,1314795,406,0
350,1315343,548,1
351,1316220,877,0
352,1316769,549,1
353,1317649,880,0
354,1318203,554,1
355,1319080,877,0
356,1320108,1028,1
357,1320508,400,0
358,1321541,1033,1
359,1321938,397,0
360,1322961,1023,1
361,1323367,406,0
362,1324396,1029,1
363,1324797,401,0
364,1325351,554,1
365,1326224,873,0
366,1327259,1035,1
367,1327654,395,0
368,1328687,1033,1
369,1329083,396,0
370,1329642,559,1
371,1330514,872,0
372,1331539,1025,1
373,1331942,403,0
374,1332969,1027,1
375,1333371,402,0
376,1334399,1028,1
377,1334801,402,0
378,1335355,554,1
379,1336227,872,0
380,1337267,1040,1
381,1337657,390,0
382,1338692,1035,1
383,1339087,395,0
384,1339643,556,1
385,1340516,873,0
386,1341072,556,1
387,1341944,872,0
388,1342503,559,1
389,1343372,869,0
390,1343932,560,1
391,1344804,872,0
392,1345831,1027,1
393,1346231,400,0
394,1346785,554,1
395,1347660,875,0
396,1348700,1040,1
397,1349091,391,0
398,1349650,559,1
399,1350517,867,0
400,1351569,1052,1
401,1351948,379,0
402,1352504,556,1
403,1353378,874,0
404,1354410,1032,1
405,1354808,398,0
406,1367272,12464,1
407,1367670,398,0
408,1368223,553,1
409,1369100,877,0
410,1369652,552,1
411,1370527,875,0
412,1371078,551,1
413,1371957,879,0
414,1372984,1027,1
415,1373387,403,0
416,1374415,1028,1
417,1374816,401,0
418,1375840,1024,1
419,1376244,404,0
420,1377278,1034,1
421,1377674,396,0
422,1378233,559,1
423,1379104,871,0
424,1380138,1034,1
425,1380530,392,0
426,1381578,1048,1
427,1381961,383,0
428,1382515,554,1
429,1383390,875,0
430,1384421,1031,1
431,1384820,399,0
432,1385846,1026,1
433,1386246,400,0
434,1387281,1035,1
435,1387677,396,0
436,1388238,561,1
437,1389106,868,0
438,1390134,1028,1
439,1390533,399,0
440,1391575,1042,1
441,1391966,391,0
442,1392515,549,1
443,1393394,879,0
444,1393947,553,1
445,1394823,876,0
446,1395379,556,1
447,1396251,872,0
448,1396806,555,1
449,1397680,874,0
450,1398715,1035,1
451,1399111,396,0
452,1399675,564,1
453,1400535,860,0
454,1401588,1053,1
455,1401967,379,0
456,1402527,560,1
457,1403398,871,0
458,1404435,1037,1
459,1404828,393,0
460,1405384,556,1
461,1406254,870,0
462,1407292,1038,1
463,1407683,391,0
464,1418717,11034,1
465,1419119,402,0
466,1419674,555,1
467,1420544,870,0
468,1421105,561,1
469,1421976,871,0
470,1422532,556,1
471,1423407,875,0
472,1424437,1030,1
473,1424835,398,0
474,1425861,1026,1
475,1426263,402,0
476,1427294,1031,1
477,1427693,399,0
478,1428723,1030,1
479,1429123,400,0
480,1429679,556,1
481,1430548,869,0
482,1431591,1043,1
483,1431982,391,0
484,1433006,1024,1
485,1433412,406,0
486,1433960,548,1
487,1434841,881,0
488,1435864,1023,1
489,1436267,403,0
490,1437303,1036,1
491,1437697,394,0
492,1438727,1030,1
493,1439127,400,0
494,1439684,557,1
495,1440552,868,0
496,1441593,1041,1
497,1441985,392,0
498,1443013,1028,1
499,1443415,402,0
500,1443965,550,1
501,1444844,879,0
502,1445396,552,1
503,1446271,875,0
504,1446820,549,1
505,1447701,881,0
506,1448260,559,1
507,1449130,870,0
508,1450157,1027,1
509,1450556,399,0
510,1451114,558,1
511,1451989,875,0
512,1453019,1030,1
513,1453418,399,0
514,1453972,554,1
515,1454847,875,0
516,1455876,1029,1
517,1456274,398,0
518,1456827,553,1
519,1457704,877,0
520,1458737,1033,1
521,1459133,396,0
522,1470160,11027,1
523,1470566,406,0
524,1471114,548,1
525,1471998,884,0
526,1472548,550,1
527,1473427,879,0
528,1473976,549,1
529,1474856,880,0
530,1475880,1024,1
531,1476284,404,0
532,1477317,1033,1
533,1477714,397,0
534,1478741,1027,1
535,1479142,401,0
536,1480175,1033,1
537,1480567,392,0
538,1481126,559,1
539,1482000,874,0
540,1483031,1031,1
541,1483429,398,0
542,1484461,1032,1
543,1484860,399,0
544,1485411,551,1
545,1486288,877,0
546,1487320,1032,1
547,1487717,397,0
548,1488746,1029,1
549,1489146,400,0
550,1490175,1029,1
551,1490573,398,0
552,1491129,556,1
553,1492004,875,0
554,1493031,1027,1
555,1493433,402,0
556,1494465,1032,1
557,1494863,398,0
558,1495416,553,1
559,1496290,874,0
560,1496844,554,1
561,1497720,876,0
562,1498285,565,1
563,1499149,864,0
564,1499710,561,1
565,1500575,865,0
566,1501623,1048,1
567,1502007,384,0
568,1502585,578,1
569,1503436,851,0
570,1504472,1036,1
571,1504866,394,0
572,1505427,561,1
573,1506294,867,0
574,1507334,1040,1
575,1507725,391,0
576,1508288,563,1
577,1509152,864,0
578,1510188,1036,1
579,1510579,391,0
580,1521625,11046,1
581,1522016,391,0
582,1522583,567,1
583,1523445,862,0
584,1523999,554,1
585,1524875,876,0
586,1525430,555,1
587,1526304,874,0
588,1527335,1031,1
589,1527734,399,0
590,1528761,1027,1
591,1529163,402,0
592,1530190,1027,1
593,1530590,400,0
594,1531626,1036,1
595,1532019,393,0
596,1532584,565,1
597,1533449,865,0
598,1534479,1030,1
599,1534878,399,0
600,1535905,1027,1
601,1536308,403,0
602,1536861,553,1
603,1537737,876,0
604,1538768,1031,1
605,1539165,397,0
606,1540201,1036,1
607,1540592,391,0
608,1541637,1045,1
609,1542024,387,0
610,1542594,570,1
611,1543452,858,0
612,1544487,1035,1
