index,timestamp_us,duration_us,level
0,2548513,0,0
1,2552405,3892,1
2,2673507,121102,0
3,2677407,3900,1
4,2798509,121102,0
5,2802409,3900,1
6,2923511,121102,0
7,2927411,3900,1
8,3048514,121103,0
9,3052414,3900,1
10,3173516,121102,0
11,3177416,3900,1
12,3298518,121102,0
13,3302418,3900,1
14,3423520,121102,0
15,3427420,3900,1
16,3548523,121103,0
17,3552423,3900,1
18,3673525,121102,0
19,3677425,3900,1
20,3798527,121102,0
21,3802427,3900,1
22,3923529,121102,0
23,3927429,3900,1
24,4048531,121102,0
25,4052431,3900,1
26,4173534,121103,0
27,4177434,3900,1
28,4298536,121102,0
29,4302436,3900,1
30,4423538,121102,0
31,4427438,3900,1
32,4548540,121102,0
33,4552440,3900,1
34,4673543,121103,0
35,4677443,3900,1
36,4798545,121102,0
37,4802445,3900,1
38,4923547,121102,0
39,4927447,3900,1
40,5048549,121102,0
41,5052449,3900,1
42,5173552,121103,0
43,5177451,3899,1
44,5298554,121103,0
45,5302454,3900,1
46,5423556,121102,0
47,5427456,3900,1
48,5548558,121102,0
49,5552458,3900,1
50,5673560,121102,0
51,5677460,3900,1
52,5677656,196,0
53,5677859,203,1
54,5677932,73,0
55,5678088,156,1
56,5678168,80,0
57,5678324,156,1
58,5678404,80,0
59,5678560,156,1
60,5678640,80,0
61,5678797,157,1
62,5678877,80,0
63,5679033,156,1
64,5679113,80,0
65,5679269,156,1
66,5679349,80,0
67,5679505,156,1
68,5679585,80,0
69,5679664,79,1
70,5679903,239,0
71,5680060,157,1
72,5680135,75,0
73,5680292,157,1
74,5798563,118271,0
75,5802463,3900,1
76,5923565,121102,0
77,5927465,3900,1
78,6048567,121102,0
79,6052467,3900,1
80,6173569,121102,0
81,6177469,3900,1
82,6298572,121103,0
83,6302472,3900,1
84,6423574,121102,0
85,6427474,3900,1
86,6548576,121102,0
87,6552476,3900,1
88,6673578,121102,0
89,6677478,3900,1
90,6798581,121103,0
91,6802480,3899,1
92,6802676,196,0
93,6802879,203,1
94,6802952,73,0
95,6803108,156,1
96,6803188,80,0
97,6803344,156,1
98,6803424,80,0
99,6803581,157,1
100,6803661,80,0
101,6803817,156,1
102,6803897,80,0
103,6804053,156,1
104,6804133,80,0
105,6804289,156,1
106,6804369,80,0
107,6804447,78,1
108,6804604,157,0
109,6804760,156,1
110,6804920,160,0
111,6805078,158,1
112,6805152,74,0
113,6805310,158,1
114,6923583,118273,0
115,6927483,3900,1
116,7048585,121102,0
117,7052485,3900,1
118,7173587,121102,0
119,7177487,3900,1
120,7298590,121103,0
121,7302489,3899,1
122,7423592,121103,0
123,7427492,3900,1
124,7548594,121102,0
125,7552494,3900,1
126,7673596,121102,0
127,7677496,3900,1
128,7798598,121102,0
129,7802498,3900,1
130,7923600,121102,0
131,7927500,3900,1
132,8048603,121103,0
133,8052503,3900,1
134,8052700,197,0
135,8052903,203,1
136,8052976,73,0
137,8053133,157,1
138,8053213,80,0
139,8053369,156,1
140,8053449,80,0
141,8053605,156,1
142,8053685,80,0
143,8053841,156,1
144,8053921,80,0
145,8054000,79,1
146,8054156,156,0
147,8054312,156,1
148,8054392,80,0
149,8054548,156,1
150,8054628,80,0
151,8054707,79,1
152,8054945,238,0
153,8055103,158,1
154,8055177,74,0
155,8055335,158,1
156,8173605,118270,0
157,8177505,3900,1
158,8298607,121102,0
159,8302507,3900,1
160,8423609,121102,0
161,8427509,3900,1
162,8548612,121103,0
163,8552512,3900,1
164,8673614,121102,0
165,8677514,3900,1
166,8798616,121102,0
167,8802516,3900,1
168,8923618,121102,0
169,8927518,3900,1
170,9048620,121102,0
171,9052521,3901,1
172,9052717,196,0
173,9052920,203,1
174,9052993,73,0
175,9053149,156,1
176,9053230,81,0
177,9053386,156,1
178,9053466,80,0
179,9053622,156,1
180,9053702,80,0
181,9053858,156,1
182,9053938,80,0
183,9054094,156,1
184,9054174,80,0
185,9054253,79,1
186,9054409,156,0
187,9054565,156,1
188,9054645,80,0
189,9054801,156,1
190,9054963,162,0
191,9055120,157,1
192,9055195,75,0
193,9055352,157,1
194,9150041,94689,0
195,9150248,207,1
196,9150327,79,0
197,9150488,161,1
198,9150564,76,0
199,9150647,83,1
200,9150800,153,0
201,9150961,161,1
202,9151037,76,0
203,9151198,161,1
204,9151356,158,0
205,9151517,161,1
206,9151592,75,0
207,9151753,161,1
208,9151829,76,0
209,9151989,160,1
210,9152065,76,0
211,9152226,161,1
212,9152302,76,0
213,9152462,160,1
214,9152538,76,0
215,9152699,161,1
216,9152775,76,0
217,9152935,160,1
218,9153011,76,0
219,9153172,161,1
220,9153331,159,0
221,9153491,160,1
222,9153567,76,0
223,9153728,161,1
224,9153804,76,0
225,9153886,82,1
226,9154040,154,0
227,9154201,161,1
228,9154277,76,0
229,9154437,160,1
230,9154513,76,0
231,9154674,161,1
232,9154750,76,0
233,9154910,160,1
234,9154986,76,0
235,9155147,161,1
236,9155306,159,0
237,9155466,160,1
238,9155542,76,0
239,9155703,161,1
240,9155779,76,0
241,9155939,160,1
242,9156015,76,0
243,9156176,161,1
244,9156252,76,0
245,9156412,160,1
246,9156488,76,0
247,9156649,161,1
248,9156725,76,0
249,9156885,160,1
250,9156961,76,0
251,9157122,161,1
252,9157281,159,0
253,9157441,160,1
254,9157517,76,0
255,9157678,161,1
256,9157754,76,0
257,9157836,82,1
258,9157990,154,0
259,9158151,161,1
260,9158226,75,0
261,9158387,161,1
262,9158463,76,0
263,9158624,161,1
264,9158699,75,0
265,9158860,161,1
266,9158936,76,0
267,9159097,161,1
268,9159255,158,0
269,9159416,161,1
270,9159492,76,0
271,9159653,161,1
272,9159728,75,0
273,9159889,161,1
274,9159965,76,0
275,9160126,161,1
276,9160201,75,0
277,9160362,161,1
278,9160438,76,0
279,9160599,161,1
280,9160674,75,0
281,9160835,161,1
282,9160911,76,0
283,9161072,161,1
284,9161230,158,0
285,9161391,161,1
286,9161467,76,0
287,9161628,161,1
288,9161703,75,0
289,9161786,83,1
290,9161940,154,0
291,9162100,160,1
292,9162176,76,0
293,9162337,161,1
294,9162413,76,0
295,9162573,160,1
296,9162649,76,0
297,9162810,161,1
298,9162886,76,0
299,9163046,160,1
300,9163205,159,0
301,9163366,161,1
302,9163442,76,0
303,9163602,160,1
304,9163678,76,0
305,9163839,161,1
306,9163915,76,0
307,9164075,160,1
308,9164151,76,0
309,9164312,161,1
310,9164388,76,0
311,9164548,160,1
312,9164624,76,0
313,9164785,161,1
314,9164861,76,0
315,9165021,160,1
316,9165180,159,0
317,9165341,161,1
318,9165417,76,0
319,9165577,160,1
320,9165653,76,0
321,9165736,83,1
322,9165890,154,0
323,9166050,160,1
324,9166126,76,0
325,9166287,161,1
326,9166363,76,0
327,9166523,160,1
328,9166599,76,0
329,9166760,161,1
330,9166836,76,0
331,9166996,160,1
332,9167156,160,0
333,9167317,161,1
334,9167393,76,0
335,9167553,160,1
336,9167629,76,0
337,9167712,83,1
338,9167866,154,0
339,9167948,82,1
340,9173623,5675,0
341,9177523,3900,1
342,9298625,121102,0
343,9302525,3900,1
344,9423627,121102,0
345,9427527,3900,1
346,9548629,121102,0
347,9552529,3900,1
348,9673632,121103,0
349,9677532,3900,1
350,9798634,121102,0
351,9802534,3900,1
352,9900054,97520,0
353,9900266,212,1
354,9900341,75,0
355,9900501,160,1
356,9900577,76,0
357,9900660,83,1
358,9900814,154,0
359,9900974,160,1
360,9901050,76,0
361,9901211,161,1
362,9901369,158,0
363,9901530,161,1
364,9901606,76,0
365,9901766,160,1
366,9901842,76,0
367,9902003,161,1
368,9902079,76,0
369,9902239,160,1
370,9902315,76,0
371,9902476,161,1
372,9902552,76,0
373,9902712,160,1
374,9902788,76,0
375,9902871,83,1
376,9903025,154,0
377,9903185,160,1
378,9903344,159,0
379,9903427,83,1
380,9903581,154,0
381,9903741,160,1
382,9903817,76,0
383,9903978,161,1
384,9904054,76,0
385,9904214,160,1
386,9904290,76,0
387,9904451,161,1
388,9904527,76,0
389,9904687,160,1
390,9904763,76,0
391,9904924,161,1
392,9905000,76,0
393,9905160,160,1
394,9905319,159,0
395,9905480,161,1
396,9905555,75,0
397,9905716,161,1
398,9905792,76,0
399,9905953,161,1
400,9906028,75,0
401,9906189,161,1
402,9906266,77,0
403,9906426,160,1
404,9906501,75,0
405,9906662,161,1
406,9906738,76,0
407,9906899,161,1
408,9906974,75,0
409,9907135,161,1
410,9907294,159,0
411,9907455,161,1
412,9907530,75,0
413,9907691,161,1
414,9907767,76,0
415,9907928,161,1
416,9908003,75,0
417,9908164,161,1
418,9908240,76,0
419,9908401,161,1
420,9908476,75,0
421,9908637,161,1
422,9908713,76,0
423,9908873,160,1
424,9908949,76,0
425,9909110,161,1
426,9909269,159,0
427,9909429,160,1
428,9909505,76,0
429,9909666,161,1
430,9909742,76,0
431,9909902,160,1
432,9909978,76,0
433,9910139,161,1
434,9910215,76,0
435,9910375,160,1
436,9910451,76,0
437,9910612,161,1
438,9910688,76,0
439,9910848,160,1
440,9910924,76,0
441,9911085,161,1
442,9911244,159,0
443,9911404,160,1
444,9911480,76,0
445,9911641,161,1
446,9911717,76,0
447,9911877,160,1
448,9911953,76,0
449,9912114,161,1
450,9912190,76,0
451,9912350,160,1
452,9912426,76,0
453,9912587,161,1
454,9912663,76,0
455,9912823,160,1
456,9912899,76,0
457,9913060,161,1
458,9913219,159,0
459,9913379,160,1
460,9913455,76,0
461,9913616,161,1
462,9913692,76,0
463,9913852,160,1
464,9913928,76,0
465,9914089,161,1
466,9914165,76,0
467,9914325,160,1
468,9914401,76,0
469,9914562,161,1
470,9914638,76,0
471,9914798,160,1
472,9914874,76,0
473,9915035,161,1
474,9915193,158,0
475,9915354,161,1
476,9915430,76,0
477,9915591,161,1
478,9915666,75,0
479,9915827,161,1
480,9915903,76,0
481,9916064,161,1
482,9916139,75,0
483,9916300,161,1
484,9916376,76,0
485,9916537,161,1
486,9916612,75,0
487,9916773,161,1
488,9916849,76,0
489,9917010,161,1
490,9917169,159,0
491,9917330,161,1
492,9917406,76,0
493,9917567,161,1
494,9917642,75,0
495,9917803,161,1
496,9917879,76,0
497,9918040,161,1
498,9923636,5596,0
499,9927536,3900,1
500,10025056,97520,0
501,10025266,210,1
502,10025343,77,0
503,10025504,161,1
504,10025580,76,0
505,10025662,82,1
506,10025816,154,0
507,10025977,161,1
508,10026052,75,0
509,10026213,161,1
510,10026371,158,0
511,10026532,161,1
512,10026608,76,0
513,10026769,161,1
514,10026844,75,0
515,10027005,161,1
516,10027081,76,0
517,10027242,161,1
518,10027317,75,0
519,10027478,161,1
520,10027554,76,0
521,10027714,160,1
522,10027790,76,0
523,10027873,83,1
524,10028027,154,0
525,10028187,160,1
526,10028346,159,0
527,10028429,83,1
528,10028583,154,0
529,10028743,160,1
530,10028819,76,0
531,10028902,83,1
532,10029056,154,0
533,10029216,160,1
534,10029292,76,0
535,10029453,161,1
536,10029529,76,0
537,10029689,160,1
538,10029765,76,0
539,10029926,161,1
540,10030002,76,0
541,10030162,160,1
542,10030321,159,0
543,10030482,161,1
544,10030558,76,0
545,10030718,160,1
546,10030794,76,0
547,10030955,161,1
548,10031031,76,0
549,10031191,160,1
550,10031267,76,0
551,10031428,161,1
552,10031504,76,0
553,10031664,160,1
554,10031740,76,0
555,10031901,161,1
556,10031977,76,0
557,10032137,160,1
558,10032296,159,0
559,10032457,161,1
560,10032533,76,0
561,10032693,160,1
562,10032769,76,0
563,10032852,83,1
564,10033006,154,0
565,10033166,160,1
566,10033242,76,0
567,10033403,161,1
568,10033479,76,0
569,10033639,160,1
570,10033715,76,0
571,10033876,161,1
572,10033952,76,0
573,10034112,160,1
574,10034271,159,0
575,10034432,161,1
576,10034508,76,0
577,10034668,160,1
578,10034744,76,0
579,10034905,161,1
580,10034980,75,0
581,10035141,161,1
582,10035217,76,0
583,10035378,161,1
584,10035453,75,0
585,10035614,161,1
586,10035690,76,0
587,10035851,161,1
588,10035926,75,0
589,10036087,161,1
590,10036246,159,0
591,10036407,161,1
592,10036482,75,0
593,10036643,161,1
594,10036719,76,0
595,10036802,83,1
596,10036955,153,0
597,10037116,161,1
598,10037192,76,0
599,10037353,161,1
600,10037428,75,0
601,10037589,161,1
602,10037665,76,0
603,10037826,161,1
604,10037901,75,0
605,10038062,161,1
606,10038221,159,0
607,10038381,160,1
608,10038457,76,0
609,10038618,161,1
610,10038694,76,0
611,10038854,160,1
612,10038930,76,0
613,10039091,161,1
614,10039167,76,0
615,10039327,160,1
616,10039403,76,0
617,10039564,161,1
618,10039640,76,0
619,10039800,160,1
620,10039876,76,0
621,10040037,161,1
622,10040196,159,0
623,10040356,160,1
624,10040432,76,0
625,10040593,161,1
626,10040669,76,0
627,10040751,82,1
628,10040905,154,0
629,10041066,161,1
630,10041142,76,0
631,10041302,160,1
632,10041378,76,0
633,10041539,161,1
634,10041615,76,0
635,10041775,160,1
636,10041851,76,0
637,10042012,161,1
638,10042172,160,0
639,10042332,160,1
640,10042408,76,0
641,10042569,161,1
642,10042645,76,0
643,10042805,160,1
644,10042881,76,0
645,10043042,161,1
646,10048638,5596,0
647,10052538,3900,1
648,10173641,121103,0
649,10177541,3900,1
650,10298643,121102,0
651,10302543,3900,1
652,10423645,121102,0
653,10427545,3900,1
654,10548647,121102,0
655,10552547,3900,1
656,10673649,121102,0
657,10677549,3900,1
658,10798652,121103,0
659,10802552,3900,1
660,10923654,121102,0
661,10927554,3900,1
662,11048656,121102,0
663,11052556,3900,1
664,11173658,121102,0
665,11177558,3900,1
666,11298661,121103,0
667,11302561,3900,1
668,11423663,121102,0
669,11427563,3900,1
670,11548665,121102,0
671,11552565,3900,1
672,11673667,121102,0
673,11677567,3900,1
674,11798669,121102,0
675,11802569,3900,1
676,11923672,121103,0
677,11927572,3900,1
678,12048674,121102,0
679,12052574,3900,1
680,12173676,121102,0
681,12177576,3900,1
682,12298678,121102,0
683,12302578,3900,1
684,12423681,121103,0
685,12427581,3900,1
686,12548683,121102,0
687,12552583,3900,1
688,12673685,121102,0
689,12677585,3900,1
690,12798687,121102,0
691,12802587,3900,1
692,12923689,121102,0
693,12927590,3901,1
694,13048692,121102,0
695,13052592,3900,1
696,13173694,121102,0
697,13177594,3900,1
698,13298696,121102,0
699,13302596,3900,1
700,13423698,121102,0
701,13427598,3900,1
702,13548701,121103,0
703,13552601,3900,1
704,13673703,121102,0
705,13677603,3900,1
706,13798705,121102,0
707,13802605,3900,1
708,13923707,121102,0
709,13927607,3900,1
710,14048709,121102,0
711,14052610,3901,1
712,14173712,121102,0
713,14177612,3900,1
714,14298714,121102,0
715,14302614,3900,1
716,14423716,121102,0
717,14427616,3900,1
718,14548718,121102,0
719,14552618,3900,1
720,14673721,121103,0
721,14677621,3900,1
722,14798723,121102,0
723,14802623,3900,1
