index,timestamp_us,duration_us,level
0,7980598,0,0
1,7984490,3892,1
2,8105593,121103,0
3,8109492,3899,1
4,8230595,121103,0
5,8234495,3900,1
6,8355597,121102,0
7,8359497,3900,1
8,8480599,121102,0
9,8484499,3900,1
10,8605601,121102,0
11,8609501,3900,1
12,8730603,121102,0
13,8734503,3900,1
14,8855605,121102,0
15,8859505,3900,1
16,8980608,121103,0
17,8984507,3899,1
18,9105610,121103,0
19,9109510,3900,1
20,9230612,121102,0
21,9234512,3900,1
22,9355614,121102,0
23,9359514,3900,1
24,9480616,121102,0
25,9484516,3900,1
26,9605618,121102,0
27,9609518,3900,1
28,9730620,121102,0
29,9734520,3900,1
30,9855623,121103,0
31,9859522,3899,1
32,9980625,121103,0
33,9984525,3900,1
34,10105627,121102,0
35,10109527,3900,1
36,10230629,121102,0
37,10234529,3900,1
38,10355631,121102,0
39,10359531,3900,1
40,10480633,121102,0
41,10484533,3900,1
42,10605635,121102,0
43,10609535,3900,1
44,10730638,121103,0
45,10734537,3899,1
46,10855640,121103,0
47,10859540,3900,1
48,10980642,121102,0
49,10984542,3900,1
50,11105644,121102,0
51,11109544,3900,1
52,11230646,121102,0
53,11234546,3900,1
54,11355648,121102,0
55,11359548,3900,1
56,11480650,121102,0
57,11484550,3900,1
58,11605652,121102,0
59,11609552,3900,1
60,11609749,197,0
61,11609952,203,1
62,11610025,73,0
63,11610181,156,1
64,11610263,82,0
65,11610418,155,1
66,11610498,80,0
67,11610654,156,1
68,11610734,80,0
69,11610890,156,1
70,11610970,80,0
71,11611126,156,1
72,11611206,80,0
73,11611362,156,1
74,11611442,80,0
75,11611598,156,1
76,11611678,80,0
77,11611757,79,1
78,11611995,238,0
79,11612152,157,1
80,11612227,75,0
81,11612384,157,1
82,11730655,118271,0
83,11734555,3900,1
84,11855657,121102,0
85,11859557,3900,1
86,11980659,121102,0
87,11984559,3900,1
88,12105661,121102,0
89,12109561,3900,1
90,12230663,121102,0
91,12234563,3900,1
92,12355665,121102,0
93,12359565,3900,1
94,12480667,121102,0
95,12484567,3900,1
96,12484765,198,0
97,12484968,203,1
98,12485041,73,0
99,12485197,156,1
100,12485278,81,0
101,12485434,156,1
102,12485514,80,0
103,12485670,156,1
104,12485750,80,0
105,12485906,156,1
106,12485986,80,0
107,12486142,156,1
108,12486222,80,0
109,12486378,156,1
110,12486458,80,0
111,12486537,79,1
112,12486693,156,0
113,12486849,156,1
114,12487010,161,0
115,12487167,157,1
116,12487242,75,0
117,12487399,157,1
118,12605670,118271,0
119,12609570,3900,1
120,12730672,121102,0
121,12734572,3900,1
122,12855674,121102,0
123,12859574,3900,1
124,12980676,121102,0
125,12984576,3900,1
126,13105678,121102,0
127,13109578,3900,1
128,13230680,121102,0
129,13234580,3900,1
130,13355682,121102,0
131,13359583,3901,1
132,13359781,198,0
133,13359984,203,1
134,13360057,73,0
135,13360213,156,1
136,13360293,80,0
137,13360449,156,1
138,13360530,81,0
139,13360686,156,1
140,13360766,80,0
141,13360922,156,1
142,13361002,80,0
143,13361080,78,1
144,13361237,157,0
145,13361393,156,1
146,13361473,80,0
147,13361629,156,1
148,13361709,80,0
149,13361788,79,1
150,13362027,239,0
151,13362185,158,1
152,13362259,74,0
153,13362417,158,1
154,13480685,118268,0
155,13484585,3900,1
156,13605687,121102,0
157,13609587,3900,1
158,13730689,121102,0
159,13734590,3901,1
160,13855691,121101,0
161,13859591,3900,1
162,13980693,121102,0
163,13984593,3900,1
164,14105695,121102,0
165,14109595,3900,1
166,14230697,121102,0
167,14234597,3900,1
168,14355700,121103,0
169,14359600,3900,1
170,14359797,197,0
171,14359999,202,1
172,14360073,74,0
173,14360229,156,1
174,14360309,80,0
175,14360465,156,1
176,14360545,80,0
177,14360701,156,1
178,14360781,80,0
179,14360937,156,1
180,14361017,80,0
181,14361173,156,1
182,14361254,81,0
183,14361332,78,1
184,14361489,157,0
185,14361645,156,1
186,14361725,80,0
187,14361881,156,1
188,14362042,161,0
189,14362199,157,1
190,14362274,75,0
191,14362431,157,1
192,14457120,94689,0
193,14457327,207,1
194,14457406,79,0
195,14457567,161,1
196,14457643,76,0
197,14457725,82,1
198,14457879,154,0
199,14458040,161,1
200,14458116,76,0
201,14458277,161,1
202,14458435,158,0
203,14458596,161,1
204,14458671,75,0
205,14458832,161,1
206,14458908,76,0
207,14459068,160,1
208,14459144,76,0
209,14459305,161,1
210,14459381,76,0
211,14459541,160,1
212,14459617,76,0
213,14459778,161,1
214,14459854,76,0
215,14460014,160,1
216,14460090,76,0
217,14460251,161,1
218,14460410,159,0
219,14460570,160,1
220,14460646,76,0
221,14460807,161,1
222,14460883,76,0
223,14460965,82,1
224,14461119,154,0
225,14461280,161,1
226,14461356,76,0
227,14461516,160,1
228,14461592,76,0
229,14461753,161,1
230,14461829,76,0
231,14461989,160,1
232,14462065,76,0
233,14462226,161,1
234,14462385,159,0
235,14462545,160,1
236,14462621,76,0
237,14462782,161,1
238,14462858,76,0
239,14463018,160,1
240,14463094,76,0
241,14463255,161,1
242,14463331,76,0
243,14463491,160,1
244,14463567,76,0
245,14463728,161,1
246,14463804,76,0
247,14463964,160,1
248,14464040,76,0
249,14464201,161,1
250,14464360,159,0
251,14464520,160,1
252,14464596,76,0
253,14464757,161,1
254,14464833,76,0
255,14464915,82,1
256,14465069,154,0
257,14465230,161,1
258,14465306,76,0
259,14465466,160,1
260,14465542,76,0
261,14465703,161,1
262,14465778,75,0
263,14465939,161,1
264,14466015,76,0
265,14466176,161,1
266,14466334,158,0
267,14466495,161,1
268,14466571,76,0
269,14466732,161,1
270,14466807,75,0
271,14466968,161,1
272,14467044,76,0
273,14467205,161,1
274,14467280,75,0
275,14467441,161,1
276,14467517,76,0
277,14467678,161,1
278,14467753,75,0
279,14467914,161,1
280,14467990,76,0
281,14468151,161,1
282,14468309,158,0
283,14468470,161,1
284,14468546,76,0
285,14468707,161,1
286,14468782,75,0
287,14468865,83,1
288,14469019,154,0
289,14469179,160,1
290,14469255,76,0
291,14469416,161,1
292,14469492,76,0
293,14469652,160,1
294,14469728,76,0
295,14469889,161,1
296,14469965,76,0
297,14470125,160,1
298,14470284,159,0
299,14470445,161,1
300,14470521,76,0
301,14470681,160,1
302,14470757,76,0
303,14470918,161,1
304,14470994,76,0
305,14471154,160,1
306,14471230,76,0
307,14471391,161,1
308,14471467,76,0
309,14471627,160,1
310,14471703,76,0
311,14471864,161,1
312,14471940,76,0
313,14472100,160,1
314,14472259,159,0
315,14472420,161,1
316,14472496,76,0
317,14472656,160,1
318,14472732,76,0
319,14472815,83,1
320,14472969,154,0
321,14473129,160,1
322,14473205,76,0
323,14473366,161,1
324,14473442,76,0
325,14473602,160,1
326,14473678,76,0
327,14473839,161,1
328,14473915,76,0
329,14474075,160,1
330,14474235,160,0
331,14474396,161,1
332,14474472,76,0
333,14474632,160,1
334,14474708,76,0
335,14474791,83,1
336,14474945,154,0
337,14475027,82,1
338,14480702,5675,0
339,14484602,3900,1
340,14605704,121102,0
341,14609604,3900,1
342,14730706,121102,0
343,14734606,3900,1
344,14855708,121102,0
345,14859608,3900,1
346,14980710,121102,0
347,14984610,3900,1
348,15105712,121102,0
349,15109612,3900,1
350,15207133,97521,0
351,15207340,207,1
