index,timestamp_us,duration_us,level
0,4210507,0,0
1,4214399,3892,1
2,4335501,121102,0
3,4339401,3900,1
4,4460503,121102,0
5,4464403,3900,1
6,4585505,121102,0
7,4589405,3900,1
8,4710508,121103,0
9,4714408,3900,1
10,4835510,121102,0
11,4839410,3900,1
12,4960512,121102,0
13,4964412,3900,1
14,5085514,121102,0
15,5089414,3900,1
16,5210516,121102,0
17,5214416,3900,1
18,5335518,121102,0
19,5339418,3900,1
20,5460520,121102,0
21,5464420,3900,1
22,5585523,121103,0
23,5589423,3900,1
24,5710525,121102,0
25,5714425,3900,1
26,5835527,121102,0
27,5839427,3900,1
28,5960529,121102,0
29,5964429,3900,1
30,6085531,121102,0
31,6089431,3900,1
32,6210533,121102,0
33,6214433,3900,1
34,6335536,121103,0
35,6339435,3899,1
36,6460538,121103,0
37,6464437,3899,1
38,6585540,121103,0
39,6589440,3900,1
40,6710542,121102,0
41,6714442,3900,1
42,6835544,121102,0
43,6839444,3900,1
44,6960546,121102,0
45,6964446,3900,1
46,7085548,121102,0
47,7089448,3900,1
48,7210551,121103,0
49,7214451,3900,1
50,7335553,121102,0
51,7339453,3900,1
52,7460555,121102,0
53,7464455,3900,1
54,7585557,121102,0
55,7589457,3900,1
56,7710559,121102,0
57,7714459,3900,1
58,7835561,121102,0
59,7839461,3900,1
60,7960563,121102,0
61,7964463,3900,1
62,8085566,121103,0
63,8089466,3900,1
64,8210568,121102,0
65,8214468,3900,1
66,8335570,121102,0
67,8339470,3900,1
68,8460572,121102,0
69,8464472,3900,1
70,8464669,197,0
71,8464871,202,1
72,8464945,74,0
73,8465101,156,1
74,8465181,80,0
75,8465337,156,1
76,8465417,80,0
77,8465573,156,1
78,8465653,80,0
79,8465809,156,1
80,8465889,80,0
81,8465968,79,1
82,8466124,156,0
83,8466203,79,1
84,8466359,156,0
85,8466515,156,1
86,8466596,81,0
87,8466752,156,1
88,8466912,160,0
89,8467069,157,1
90,8467144,75,0
91,8467301,157,1
92,8561992,94691,0
93,8562200,208,1
94,8562279,79,0
95,8562440,161,1
96,8562515,75,0
97,8562598,83,1
98,8562752,154,0
99,8562913,161,1
100,8562988,75,0
101,8563149,161,1
102,8563307,158,0
103,8563468,161,1
104,8563544,76,0
105,8563704,160,1
106,8563780,76,0
107,8563941,161,1
108,8564017,76,0
109,8564177,160,1
110,8564253,76,0
111,8564414,161,1
112,8564490,76,0
113,8564650,160,1
114,8564726,76,0
115,8564887,161,1
116,8564963,76,0
117,8565123,160,1
118,8565282,159,0
119,8565443,161,1
120,8565519,76,0
121,8565679,160,1
122,8565755,76,0
123,8565916,161,1
124,8565992,76,0
125,8566074,82,1
126,8566228,154,0
127,8566389,161,1
128,8566465,76,0
129,8566625,160,1
130,8566701,76,0
131,8566862,161,1
132,8566938,76,0
133,8567098,160,1
134,8567257,159,0
135,8567418,161,1
136,8567494,76,0
137,8567654,160,1
138,8567730,76,0
139,8567891,161,1
140,8567967,76,0
141,8568127,160,1
142,8568203,76,0
143,8568364,161,1
144,8568440,76,0
145,8568600,160,1
146,8568676,76,0
147,8568837,161,1
148,8568913,76,0
149,8569073,160,1
150,8569232,159,0
151,8569393,161,1
152,8569469,76,0
153,8569629,160,1
154,8569705,76,0
155,8569866,161,1
156,8569942,76,0
157,8570102,160,1
158,8570178,76,0
159,8570339,161,1
160,8570414,75,0
161,8570575,161,1
162,8570651,76,0
163,8570812,161,1
164,8570887,75,0
165,8571048,161,1
166,8571207,159,0
167,8571368,161,1
168,8571443,75,0
169,8571604,161,1
170,8571680,76,0
171,8571841,161,1
172,8571916,75,0
173,8572077,161,1
174,8572153,76,0
175,8572314,161,1
176,8572389,75,0
177,8572550,161,1
178,8572626,76,0
179,8572787,161,1
180,8572862,75,0
181,8573023,161,1
182,8573182,159,0
183,8573343,161,1
184,8573418,75,0
185,8573579,161,1
186,8573655,76,0
187,8573815,160,1
188,8573891,76,0
189,8574052,161,1
190,8574128,76,0
191,8574288,160,1
192,8574364,76,0
193,8574525,161,1
194,8574601,76,0
195,8574761,160,1
196,8574837,76,0
197,8574998,161,1
198,8575157,159,0
199,8575317,160,1
200,8575393,76,0
201,8575554,161,1
202,8575630,76,0
203,8575790,160,1
204,8575866,76,0
205,8576027,161,1
206,8576103,76,0
207,8576265,162,1
208,8576339,74,0
209,8576500,161,1
210,8576576,76,0
211,8576736,160,1
212,8576812,76,0
213,8576973,161,1
214,8577132,159,0
215,8577292,160,1
216,8577368,76,0
217,8577529,161,1
218,8577605,76,0
219,8577765,160,1
220,8577841,76,0
221,8578002,161,1
222,8578078,76,0
223,8578238,160,1
224,8578314,76,0
225,8578475,161,1
226,8578551,76,0
227,8578711,160,1
228,8578787,76,0
229,8578948,161,1
230,8579108,160,0
231,8579271,163,1
232,8579344,73,0
233,8579505,161,1
234,8579581,76,0
235,8579663,82,1
236,8579817,154,0
237,8579900,83,1
238,8585574,5674,0
239,8589474,3900,1
240,8710576,121102,0
241,8714476,3900,1
242,8835579,121103,0
243,8839479,3900,1
244,8960581,121102,0
245,8964481,3900,1
246,9085583,121102,0
247,9089483,3900,1
248,9210585,121102,0
249,9214485,3900,1
250,9335588,121103,0
251,9339487,3899,1
252,9460590,121103,0
253,9464489,3899,1
254,9585592,121103,0
255,9589491,3899,1
256,9710594,121103,0
257,9714494,3900,1
258,9835596,121102,0
259,9839496,3900,1
260,9960598,121102,0
261,9964498,3900,1
262,10085600,121102,0
263,10089500,3900,1
264,10210602,121102,0
265,10214502,3900,1
266,10335604,121102,0
267,10339504,3900,1
268,10460606,121102,0
269,10464506,3900,1
270,10585609,121103,0
271,10589509,3900,1
272,10710611,121102,0
