index,timestamp_us,duration_us,level
0,25390299,0,0
1,25394191,3892,1
2,25515293,121102,0
3,25519193,3900,1
4,25640296,121103,0
5,25644196,3900,1
6,25765298,121102,0
7,25769198,3900,1
8,25890300,121102,0
9,25894200,3900,1
10,26015302,121102,0
11,26019202,3900,1
12,26140304,121102,0
13,26144204,3900,1
14,26265306,121102,0
15,26269206,3900,1
16,26390308,121102,0
17,26394208,3900,1
18,26515310,121102,0
19,26519210,3900,1
20,26640313,121103,0
21,26644213,3900,1
22,26765315,121102,0
23,26769215,3900,1
24,26890317,121102,0
25,26894217,3900,1
26,27015319,121102,0
27,27019219,3900,1
28,27140321,121102,0
29,27144221,3900,1
30,27265323,121102,0
31,27269223,3900,1
32,27390325,121102,0
33,27394225,3900,1
34,27515327,121102,0
35,27519227,3900,1
36,27640330,121103,0
37,27644230,3900,1
38,27765332,121102,0
39,27769232,3900,1
40,27890334,121102,0
41,27894234,3900,1
42,28015336,121102,0
43,28019236,3900,1
44,28140338,121102,0
45,28144238,3900,1
46,28265340,121102,0
47,28269240,3900,1
48,28390342,121102,0
49,28394242,3900,1
50,28515344,121102,0
51,28519244,3900,1
52,28640347,121103,0
53,28644247,3900,1
54,28765349,121102,0
55,28769249,3900,1
56,28890351,121102,0
57,28894251,3900,1
58,29015353,121102,0
59,29019253,3900,1
60,29140355,121102,0
61,29144255,3900,1
62,29265357,121102,0
63,29269257,3900,1
64,29390359,121102,0
65,29394259,3900,1
66,29515361,121102,0
67,29519261,3900,1
68,29640364,121103,0
69,29644264,3900,1
70,29765366,121102,0
71,29769270,3904,1
72,29890368,121098,0
73,29894270,3902,1
74,30015370,121100,0
75,30019270,3900,1
76,30140372,121102,0
77,30144272,3900,1
78,30265374,121102,0
79,30269274,3900,1
80,30390376,121102,0
81,30394276,3900,1
82,30515378,121102,0
83,30519278,3900,1
84,30640381,121103,0
85,30644281,3900,1
86,30765383,121102,0
87,30769283,3900,1
88,30890385,121102,0
89,30894285,3900,1
90,31015387,121102,0
91,31019287,3900,1
92,31019484,197,0
93,31019686,202,1
94,31019760,74,0
95,31019916,156,1
96,31019996,80,0
97,31020152,156,1
98,31020232,80,0
99,31020388,156,1
100,31020468,80,0
101,31020624,156,1
102,31020704,80,0
103,31020860,156,1
104,31020941,81,0
105,31021097,156,1
106,31021177,80,0
107,31021333,156,1
108,31021413,80,0
109,31021491,78,1
110,31021729,238,0
111,31021887,158,1
112,31021961,74,0
113,31022119,158,1
114,31140389,118270,0
115,31144289,3900,1
116,31265391,121102,0
117,31269291,3900,1
118,31390393,121102,0
119,31394293,3900,1
120,31515395,121102,0
121,31519295,3900,1
122,31640398,121103,0
123,31644298,3900,1
124,31765400,121102,0
125,31769300,3900,1
126,31890402,121102,0
127,31894302,3900,1
128,32015404,121102,0
129,32019304,3900,1
130,32140406,121102,0
131,32144306,3900,1
132,32265408,121102,0
133,32269308,3900,1
134,32390410,121102,0
135,32394310,3900,1
136,32515412,121102,0
137,32519312,3900,1
138,32640415,121103,0
139,32644315,3900,1
140,32765417,121102,0
141,32769317,3900,1
142,32890419,121102,0
143,32894319,3900,1
144,33015421,121102,0
145,33019321,3900,1
146,33140423,121102,0
147,33144323,3900,1
148,33265425,121102,0
149,33269325,3900,1
150,33390427,121102,0
151,33394327,3900,1
152,33515429,121102,0
153,33519329,3900,1
154,33640432,121103,0
155,33644332,3900,1
156,33765434,121102,0
157,33769334,3900,1
158,33890436,121102,0
159,33894336,3900,1
160,34015438,121102,0
161,34019338,3900,1
162,34140440,121102,0
163,34144340,3900,1
164,34265442,121102,0
165,34269342,3900,1
166,34390444,121102,0
167,34394344,3900,1
168,34515446,121102,0
169,34519346,3900,1
170,34640449,121103,0
171,34644349,3900,1
172,34765451,121102,0
173,34769351,3900,1
174,34890453,121102,0
175,34894353,3900,1
176,35015455,121102,0
177,35019355,3900,1
178,35140457,121102,0
179,35144357,3900,1
180,35265459,121102,0
181,35269359,3900,1
182,35390461,121102,0
183,35394361,3900,1
184,35515463,121102,0
185,35519363,3900,1
186,35616884,97521,0
187,35617091,207,1
188,35617170,79,0
189,35617331,161,1
190,35617407,76,0
191,35617489,82,1
192,35617643,154,0
193,35617804,161,1
194,35617880,76,0
195,35618040,160,1
196,35618199,159,0
197,35618359,160,1
198,35618435,76,0
