index,timestamp_us,duration_us,level
0,6580251,0,0
1,6584143,3892,1
2,6705245,121102,0
3,6709145,3900,1
4,6830247,121102,0
5,6834147,3900,1
6,6955250,121103,0
7,6959149,3899,1
8,7080252,121103,0
9,7084152,3900,1
10,7205254,121102,0
11,7209154,3900,1
12,7330256,121102,0
13,7334156,3900,1
14,7455259,121103,0
15,7459158,3899,1
16,7580260,121102,0
17,7584160,3900,1
18,7705266,121106,0
19,7709162,3896,1
20,7830266,121104,0
21,7834164,3898,1
22,7955267,121103,0
23,7959167,3900,1
24,8080269,121102,0
25,8084169,3900,1
26,8205271,121102,0
27,8209171,3900,1
28,8330273,121102,0
29,8334173,3900,1
30,8455275,121102,0
31,8459175,3900,1
32,8580277,121102,0
33,8584177,3900,1
34,8705279,121102,0
35,8709179,3900,1
36,8830282,121103,0
37,8834182,3900,1
38,8955284,121102,0
39,8959184,3900,1
40,9080286,121102,0
41,9084186,3900,1
42,9205288,121102,0
43,9209188,3900,1
44,9330290,121102,0
45,9334190,3900,1
46,9455292,121102,0
47,9459192,3900,1
48,9459386,194,0
49,9459588,202,1
50,9459662,74,0
51,9459818,156,1
52,9459898,80,0
53,9460054,156,1
54,9460134,80,0
55,9460290,156,1
56,9460370,80,0
57,9460526,156,1
58,9460606,80,0
59,9460762,156,1
60,9460842,80,0
61,9460998,156,1
62,9461078,80,0
63,9461235,157,1
64,9461315,80,0
65,9461393,78,1
66,9461632,239,0
67,9461790,158,1
68,9461864,74,0
69,9462022,158,1
70,9580294,118272,0
71,9584194,3900,1
72,9705297,121103,0
73,9709197,3900,1
74,9830299,121102,0
75,9834199,3900,1
76,9955301,121102,0
77,9959201,3900,1
78,10080303,121102,0
79,10084203,3900,1
80,10205305,121102,0
81,10209205,3900,1
82,10330307,121102,0
83,10334207,3900,1
84,10455309,121102,0
85,10459209,3900,1
86,10580312,121103,0
87,10584211,3899,1
88,10705314,121103,0
89,10709214,3900,1
90,10830316,121102,0
91,10834216,3900,1
92,10955318,121102,0
93,10959218,3900,1
94,11080320,121102,0
95,11084220,3900,1
96,11205322,121102,0
97,11209222,3900,1
98,11330324,121102,0
99,11334224,3900,1
100,11455326,121102,0
101,11459226,3900,1
102,11580329,121103,0
103,11584229,3900,1
104,11705331,121102,0
105,11709231,3900,1
106,11830333,121102,0
107,11834233,3900,1
108,11955335,121102,0
109,11959235,3900,1
110,12080337,121102,0
111,12084237,3900,1
112,12205339,121102,0
113,12209239,3900,1
114,12330341,121102,0
115,12334241,3900,1
116,12455344,121103,0
117,12459244,3900,1
118,12580346,121102,0
119,12584246,3900,1
120,12705348,121102,0
121,12709248,3900,1
122,12830350,121102,0
123,12834250,3900,1
124,12955352,121102,0
125,12959252,3900,1
126,13080354,121102,0
127,13084254,3900,1
128,13205356,121102,0
129,13209256,3900,1
130,13330359,121103,0
131,13334260,3901,1
132,13455361,121101,0
133,13459260,3899,1
134,13580363,121103,0
135,13584266,3903,1
136,13705365,121099,0
137,13709266,3901,1
138,13830367,121101,0
139,13834267,3900,1
140,13931787,97520,0
141,13931995,208,1
142,13932074,79,0
143,13932235,161,1
144,13932310,75,0
145,13932393,83,1
146,13932547,154,0
147,13932708,161,1
148,13932783,75,0
149,13932944,161,1
150,13933102,158,0
151,13933266,164,1
152,13933339,73,0
153,13933499,160,1
154,13933575,76,0
155,13933736,161,1
156,13933812,76,0
157,13933972,160,1
158,13934048,76,0
159,13934209,161,1
160,13934285,76,0
161,13934445,160,1
162,13934521,76,0
163,13934682,161,1
164,13934758,76,0
165,13934918,160,1
166,13935077,159,0
167,13935160,83,1
168,13935314,154,0
169,13935474,160,1
170,13935550,76,0
171,13935633,83,1
172,13935787,154,0
173,13935947,160,1
174,13936023,76,0
175,13936184,161,1
176,13936260,76,0
177,13936420,160,1
178,13936496,76,0
179,13936657,161,1
180,13936733,76,0
181,13936893,160,1
182,13937052,159,0
183,13937213,161,1
184,13937289,76,0
185,13937449,160,1
186,13937525,76,0
187,13937686,161,1
188,13937762,76,0
189,13937922,160,1
190,13937998,76,0
191,13938159,161,1
192,13938235,76,0
193,13938395,160,1
194,13938471,76,0
195,13938632,161,1
196,13938708,76,0
197,13938868,160,1
198,13939027,159,0
199,13939110,83,1
200,13939266,156,0
201,13939424,158,1
202,13939500,76,0
203,13939583,83,1
204,13939736,153,0
205,13939897,161,1
206,13939973,76,0
207,13940134,161,1
208,13940209,75,0
209,13940370,161,1
210,13940446,76,0
211,13940607,161,1
212,13940682,75,0
213,13940843,161,1
214,13941002,159,0
215,13941163,161,1
216,13941238,75,0
217,13941399,161,1
218,13941475,76,0
219,13941636,161,1
220,13941711,75,0
221,13941872,161,1
222,13941948,76,0
223,13942109,161,1
224,13942184,75,0
225,13942345,161,1
226,13942421,76,0
227,13942582,161,1
228,13942657,75,0
229,13942818,161,1
230,13942977,159,0
231,13943060,83,1
232,13943213,153,0
233,13943374,161,1
234,13943450,76,0
235,13943533,83,1
236,13943686,153,0
237,13943847,161,1
238,13943923,76,0
239,13944083,160,1
240,13944159,76,0
241,13944320,161,1
242,13944396,76,0
243,13944556,160,1
244,13944632,76,0
245,13944793,161,1
246,13944952,159,0
247,13945112,160,1
248,13945188,76,0
249,13945349,161,1
250,13945425,76,0
251,13945586,161,1
252,13945661,75,0
253,13945822,161,1
254,13945898,76,0
255,13946058,160,1
256,13946134,76,0
257,13946295,161,1
258,13946371,76,0
259,13946531,160,1
260,13946607,76,0
261,13946768,161,1
262,13946927,159,0
263,13947009,82,1
264,13947163,154,0
265,13947324,161,1
266,13947400,76,0
267,13947482,82,1
268,13947636,154,0
269,13947797,161,1
270,13947873,76,0
271,13948033,160,1
272,13948109,76,0
273,13948270,161,1
274,13948346,76,0
275,13948506,160,1
276,13948583,77,0
277,13948743,160,1
278,13948903,160,0
279,13949063,160,1
280,13949139,76,0
281,13949300,161,1
282,13949376,76,0
283,13949536,160,1
284,13949612,76,0
285,13949773,161,1
286,13955369,5596,0
287,13959269,3900,1
288,14056790,97521,0
289,14056997,207,1
290,14057076,79,0
291,14057237,161,1
292,14057313,76,0
293,14057395,82,1
294,14057549,154,0
295,14057710,161,1
296,14057785,75,0
297,14057946,161,1
298,14058104,158,0
299,14058266,162,1
300,14058341,75,0
301,14058502,161,1
302,14058577,75,0
303,14058738,161,1
304,14058814,76,0
305,14058975,161,1
306,14059050,75,0
307,14059211,161,1
308,14059287,76,0
309,14059448,161,1
310,14059523,75,0
311,14059684,161,1
312,14059760,76,0
313,14059921,161,1
314,14060079,158,0
315,14060162,83,1
316,14060316,154,0
317,14060477,161,1
318,14060552,75,0
319,14060635,83,1
320,14060789,154,0
321,14060950,161,1
322,14061025,75,0
323,14061186,161,1
324,14061266,80,0
325,14061422,156,1
326,14061498,76,0
327,14061659,161,1
328,14061735,76,0
329,14061895,160,1
330,14062054,159,0
331,14062215,161,1
332,14062291,76,0
333,14062451,160,1
334,14062527,76,0
335,14062688,161,1
336,14062764,76,0
337,14062924,160,1
338,14063000,76,0
339,14063161,161,1
340,14063237,76,0
341,14063397,160,1
342,14063473,76,0
343,14063634,161,1
344,14063710,76,0
345,14063870,160,1
346,14064029,159,0
347,14064112,83,1
348,14064266,154,0
349,14064426,160,1
350,14064502,76,0
351,14064585,83,1
352,14064739,154,0
353,14064899,160,1
354,14064975,76,0
355,14065136,161,1
356,14065212,76,0
357,14065372,160,1
358,14065448,76,0
359,14065609,161,1
360,14065685,76,0
361,14065845,160,1
362,14066004,159,0
363,14066165,161,1
364,14066241,76,0
365,14066401,160,1
366,14066477,76,0
367,14066638,161,1
368,14066714,76,0
369,14066874,160,1
370,14066950,76,0
371,14067111,161,1
372,14067187,76,0
373,14067347,160,1
374,14067423,76,0
375,14067584,161,1
376,14067659,75,0
377,14067820,161,1
378,14067979,159,0
379,14068062,83,1
380,14068215,153,0
381,14068376,161,1
382,14068452,76,0
383,14068535,83,1
384,14068688,153,0
385,14068849,161,1
386,14068925,76,0
387,14069086,161,1
388,14069161,75,0
389,14069322,161,1
390,14069398,76,0
391,14069559,161,1
392,14069634,75,0
393,14069795,161,1
394,14069954,159,0
395,14070115,161,1
396,14070190,75,0
397,14070351,161,1
398,14070427,76,0
399,14070588,161,1
400,14070663,75,0
401,14070824,161,1
402,14070900,76,0
403,14071061,161,1
404,14071136,75,0
405,14071297,161,1
406,14071373,76,0
407,14071533,160,1
408,14071609,76,0
409,14071770,161,1
410,14071929,159,0
411,14072011,82,1
412,14072165,154,0
413,14072326,161,1
414,14072402,76,0
415,14072484,82,1
416,14072638,154,0
417,14072799,161,1
418,14072875,76,0
419,14073035,160,1
420,14073111,76,0
421,14073272,161,1
422,14073348,76,0
423,14073508,160,1
424,14073584,76,0
425,14073745,161,1
426,14073905,160,0
427,14074065,160,1
428,14074141,76,0
429,14074302,161,1
430,14074378,76,0
431,14074538,160,1
432,14074614,76,0
433,14074775,161,1
434,14080371,5596,0
435,14084271,3900,1
436,14205373,121102,0
437,14209273,3900,1
438,14330376,121103,0
