index,timestamp_us,duration_us,level
0,62896231,0,0
1,62900123,3892,1
2,63021226,121103,0
3,63025125,3899,1
4,63146228,121103,0
5,63150128,3900,1
6,63271230,121102,0
7,63275130,3900,1
8,63396233,121103,0
9,63400132,3899,1
10,63521235,121103,0
11,63525135,3900,1
12,63646237,121102,0
13,63650137,3900,1
14,63771240,121103,0
15,63775139,3899,1
16,63896242,121103,0
17,63900142,3900,1
18,64021244,121102,0
19,64025144,3900,1
20,64146247,121103,0
21,64150146,3899,1
22,64271249,121103,0
23,64275149,3900,1
24,64396251,121102,0
25,64400151,3900,1
26,64521254,121103,0
27,64525153,3899,1
28,64646256,121103,0
29,64650156,3900,1
30,64771258,121102,0
31,64775158,3900,1
32,64896261,121103,0
33,64900160,3899,1
34,65021263,121103,0
35,65025163,3900,1
36,65146265,121102,0
37,65150165,3900,1
38,65271268,121103,0
39,65275168,3900,1
40,65396274,121106,0
41,65400170,3896,1
42,65521274,121104,0
43,65525172,3898,1
44,65646274,121102,0
45,65650175,3901,1
46,65771277,121102,0
47,65775177,3900,1
48,65896279,121102,0
49,65900179,3900,1
50,66021282,121103,0
51,66025181,3899,1
52,66146284,121103,0
53,66150184,3900,1
54,66271286,121102,0
55,66275186,3900,1
56,66396289,121103,0
57,66400188,3899,1
58,66521291,121103,0
59,66525191,3900,1
60,66646293,121102,0
61,66650193,3900,1
62,66771296,121103,0
63,66775195,3899,1
64,66896298,121103,0
65,66900198,3900,1
66,67021300,121102,0
67,67025200,3900,1
68,67146302,121102,0
69,67150202,3900,1
70,67271305,121103,0
71,67275205,3900,1
72,67396307,121102,0
73,67400207,3900,1
74,67521309,121102,0
75,67525209,3900,1
76,67646312,121103,0
77,67650212,3900,1
78,67771314,121102,0
79,67775214,3900,1
80,67896316,121102,0
81,67900216,3900,1
82,68021319,121103,0
83,68025219,3900,1
84,68146321,121102,0
85,68150221,3900,1
86,68271323,121102,0
87,68275223,3900,1
88,68396326,121103,0
89,68400226,3900,1
90,68521328,121102,0
91,68525228,3900,1
92,68646330,121102,0
93,68650230,3900,1
94,68771333,121103,0
95,68775233,3900,1
96,68896335,121102,0
97,68900235,3900,1
98,69021337,121102,0
99,69025237,3900,1
100,69146340,121103,0
101,69150240,3900,1
102,69271342,121102,0
103,69275242,3900,1
104,69396344,121102,0
105,69400244,3900,1
106,69521347,121103,0
107,69525247,3900,1
108,69646349,121102,0
109,69650249,3900,1
110,69771351,121102,0
111,69775251,3900,1
112,69896354,121103,0
113,69900254,3900,1
114,70021356,121102,0
115,70025256,3900,1
116,70146358,121102,0
117,70150258,3900,1
118,70271361,121103,0
119,70275261,3900,1
120,70396363,121102,0
121,70400263,3900,1
122,70521365,121102,0
123,70525265,3900,1
124,70646368,121103,0
125,70650268,3900,1
126,70771370,121102,0
127,70775274,3904,1
128,70896372,121098,0
129,70900274,3902,1
130,71021375,121101,0
131,71025275,3900,1
132,71146377,121102,0
133,71150277,3900,1
134,71271379,121102,0
135,71275279,3900,1
136,71396382,121103,0
137,71400282,3900,1
138,71521384,121102,0
139,71525284,3900,1
140,71646386,121102,0
141,71650286,3900,1
142,71771389,121103,0
143,71775289,3900,1
144,71896391,121102,0
145,71900291,3900,1
146,72021393,121102,0
147,72025293,3900,1
148,72146396,121103,0
149,72150296,3900,1
150,72271398,121102,0
151,72275298,3900,1
152,72396400,121102,0
153,72400300,3900,1
154,72521403,121103,0
155,72525303,3900,1
156,72646405,121102,0
157,72650305,3900,1
158,72771407,121102,0
159,72775307,3900,1
160,72896410,121103,0
161,72900310,3900,1
162,73021412,121102,0
163,73025312,3900,1
164,73146414,121102,0
165,73150314,3900,1
166,73271417,121103,0
167,73275317,3900,1
168,73396419,121102,0
169,73400319,3900,1
170,73521421,121102,0
171,73525321,3900,1
172,73646424,121103,0
173,73650324,3900,1
174,73771426,121102,0
175,73775326,3900,1
176,73896428,121102,0
177,73900328,3900,1
178,74021431,121103,0
179,74025331,3900,1
180,74146433,121102,0
181,74150333,3900,1
182,74271435,121102,0
183,74275335,3900,1
184,74396438,121103,0
185,74400338,3900,1
186,74521440,121102,0
187,74525340,3900,1
188,74646442,121102,0
189,74650342,3900,1
190,74771445,121103,0
191,74775345,3900,1
192,74896447,121102,0
193,74900347,3900,1
194,75021449,121102,0
195,75025349,3900,1
196,75146451,121102,0
197,75150351,3900,1
198,75271454,121103,0
199,75275354,3900,1
200,75396456,121102,0
201,75400356,3900,1
202,75521458,121102,0
203,75525358,3900,1
204,75646461,121103,0
205,75650361,3900,1
206,75771463,121102,0
207,75775363,3900,1
208,75896465,121102,0
209,75900365,3900,1
210,76021468,121103,0
211,76025368,3900,1
212,76146470,121102,0
213,76150370,3900,1
214,76271472,121102,0
215,76275372,3900,1
216,76396475,121103,0
217,76400375,3900,1
218,76521477,121102,0
219,76525377,3900,1
220,76646479,121102,0
221,76650379,3900,1
222,76771482,121103,0
223,76775382,3900,1
224,76896484,121102,0
225,76900384,3900,1
226,77021486,121102,0
227,77025386,3900,1
228,77146489,121103,0
229,77150389,3900,1
230,77271491,121102,0
231,77275391,3900,1
232,77396493,121102,0
233,77400393,3900,1
234,77521496,121103,0
235,77525396,3900,1
236,77646498,121102,0
237,77650398,3900,1
238,77771500,121102,0
239,77775400,3900,1
240,77896503,121103,0
241,77900403,3900,1
242,78021505,121102,0
243,78025405,3900,1
244,78146507,121102,0
245,78150407,3900,1
246,78271510,121103,0
247,78275410,3900,1
248,78396512,121102,0
249,78400412,3900,1
250,78521514,121102,0
251,78525414,3900,1
252,78646517,121103,0
253,78650417,3900,1
254,78771519,121102,0
255,78775419,3900,1
256,78896521,121102,0
257,78900421,3900,1
258,79021524,121103,0
259,79025424,3900,1
260,79146526,121102,0
261,79150426,3900,1
262,79271528,121102,0
263,79275428,3900,1
264,79396531,121103,0
265,79400430,3899,1
266,79521533,121103,0
267,79525433,3900,1
268,79646535,121102,0
269,79650435,3900,1
270,79771537,121102,0
271,79775437,3900,1
272,79896540,121103,0
273,79900440,3900,1
274,80021542,121102,0
275,80025442,3900,1
276,80146544,121102,0
277,80150444,3900,1
278,80271547,121103,0
279,80275447,3900,1
280,80396549,121102,0
281,80400449,3900,1
282,80521551,121102,0
283,80525451,3900,1
284,80646554,121103,0
285,80650454,3900,1
286,80771556,121102,0
287,80775456,3900,1
288,80896558,121102,0
289,80900458,3900,1
290,81021561,121103,0
291,81025461,3900,1
292,81146563,121102,0
293,81150463,3900,1
294,81271565,121102,0
295,81275465,3900,1
296,81396568,121103,0
297,81400468,3900,1
